Finishing Place,Driver Number,Driver-Co-Driver Names,RC Type,Finish Time,Time Difference
1.,#17,Ogier Sébastien - Landais Vincent,RC1,3:16:09.4,
2.,#11,Neuville Thierry - Wydaeghe Martijn,RC1,3:16:36.9,+27.5 +27.5
3.,#33,Evans Elfyn - Martin Scott,RC1,3:16:37.3,+27.9 +0.4
4.,#69,Rovanperä Kalle - Halttunen Jonne,RC1,3:18:04.7,+1:55.3 +1:27.4
5.,#6,Sordo Dani - Carrera Cándido,RC1,3:19:08.2,+2:58.8 +1:03.5
6.,#20,Greensmith Gus - Andersson Jonas,RC2,3:28:40.9,+12:31.5 +9:32.7
7.,#24,Lindholm Emil - Hämäläinen Reeta,RC2,3:29:13.8,+13:04.4 +32.9
8.,#21,Solberg Oliver - Edmondson Elliott,RC2,3:29:47.1,+13:37.7 +33.3
9.,#8,Tänak Ott - Järveoja Martin,RC1,3:31:29.0,+15:19.6 +1:41.9
10.,#25,Kajetanowicz Kajetan - Szczepaniak Maciej,RC2,3:32:06.0,+15:56.6 +37.0
11.,#26,Prokop Martin - Ernst Michal,RC2,3:35:05.5,+18:56.1 +2:59.5
12.,#34,Salas Carlos jr - Zapata Ortega Jaime,RC2,3:40:12.40:10,+24:03.0 +5:06.9
13.,#31,Cordero Ricardo Jnr - Hernández Marco,RC2,3:43:17.62:00,+27:08.2 +3:05.2
14.,#29[SR],[SR],RC2,3:44:16.3,+28:06.9 +58.7
15.,#30,Martínez Fontena Jorge - Alvarez Nicholson Alberto,RC3,3:46:34.2,+30:24.8 +2:17.9
16.,#22,Domínguez Diego Jr. - Peñate Rogelio,RC2,3:47:02.50:10,+30:53.1 +28.3
17.,#36,Fourmaux Adrien - Coria Alexandre,RC2,3:52:20.3,+36:10.9 +5:17.8
18.,#27,Mauro Sánchez Alejandro - Sanjuan Diego,RC2,3:52:27.1,+36:17.7 +6.8
19.,#38,Chwist Daniel - Heller Kamil,RC5,4:02:55.8,+46:46.4 +10:28.7
20.,#37[SR],Spitalier Patrice - Spitalier Nicolas,RC3,4:05:59.92:00,+49:50.5 +3:04.1
21.,#28[SR],[SR],RC2,4:09:38.9,+53:29.5 +3:39.0
22.,#42,Bailey Jason - Peterson Shayne,RC5,4:10:36.50:10,+54:27.1 +57.6
23.,#18[SR],[SR],RC1,4:20:43.9,+1:04:34.5 +10:07.4
24.,#35,Castro Eduardo - Mussano Fernando,RC2,4:30:56.24:10,+1:14:46.8 +10:12.3
25.,#9[SR],Retama Emiliano - Retama Diego,RC1,4:51:05.0,+1:34:55.6 +20:08.8
26.,#32[SR],[SR],RC2,5:07:28.3,+1:51:18.9 +16:23.3
27.,#7[SR],Katsuta Takamoto - Johnston Aaron,RC1,5:10:11.4,+1:54:02.0 +2:43.1
28.,#39[SR],Coyne John - Treacy Eoin,RC5,5:13:35.11:10,+1:57:25.7 +3:23.7
